Date,Open,High,Low,Close,Adj Close**,Volume
"Aug 12, 2019",26170,26179,25825,25896,"25,896.44",199390000
"Aug 09, 2019",26337,26413,26098,26287,"26,287.44",240260000
"Aug 08, 2019",26087,26384,26038,26378,"26,378.19",282530000
"Aug 07, 2019",25814,26073,25440,26007,"26,007.07",344790000
"Aug 06, 2019",25811,26039,25711,26030,"26,029.52",318160000
"Aug 05, 2019",26259,26259,25523,25718,"25,717.74",422240000
"Aug 02, 2019",26529,26570,26249,26485,"26,485.01",327640000
"Aug 01, 2019",26880,27176,26549,26583,"26,583.42",386320000
"Jul 31, 2019",27245,27282,26720,26864,"26,864.27",385150000
"Jul 30, 2019",27145,27224,27070,27198,"27,198.02",293250000
"Jul 29, 2019",27192,27276,27178,27221,"27,221.35",250850000
"Jul 26, 2019",27166,27214,27123,27192,"27,192.45",233650000
"Jul 25, 2019",27247,27298,27062,27141,"27,140.98",241420000
"Jul 24, 2019",27262,27291,27191,27270,"27,269.97",244320000
"Jul 23, 2019",27232,27369,27205,27349,"27,349.19",248850000
"Jul 22, 2019",27174,27228,27089,27172,"27,171.90",216310000
"Jul 19, 2019",27246,27343,27146,27154,"27,154.20",287690000
"Jul 18, 2019",27192,27267,27069,27223,"27,222.97",216070000
"Jul 17, 2019",27321,27343,27218,27220,"27,219.85",193930000
"Jul 16, 2019",27349,27399,27290,27336,"27,335.63",226000000
"Jul 15, 2019",27365,27365,27294,27359,"27,359.16",199730000
"Jul 12, 2019",27139,27334,27135,27332,"27,332.03",248390000
"Jul 11, 2019",26950,27088,26916,27088,"27,088.08",252300000
"Jul 10, 2019",26852,26983,26813,26860,"26,860.20",207990000
"Jul 09, 2019",26725,26808,26666,26783,"26,783.49",218330000
"Jul 08, 2019",26836,26839,26745,26806,"26,806.14",214290000
"Jul 05, 2019",26868,26951,26733,26922,"26,922.12",192170000
"Jul 03, 2019",26832,26966,26831,26966,"26,966.00",149840000
"Jul 02, 2019",26720,26788,26633,26787,"26,786.68",219270000
"Jul 01, 2019",26806,26891,26616,26717,"26,717.43",267670000
